73.85,241.89,Male
68.78,162.31,Male
74.11,212.74,Male
71.73,220.04,Male
69.88,206.35,Male
67.25,152.21,Male
68.79,183.93,Male
68.35,167.97,Male
67.02,175.93,Male
63.46,156.4,Male
71.2,186.6,Male
71.64,213.74,Male
64.77,167.13,Male
69.28,189.45,Male
69.24,186.43,Male
67.65,172.19,Male
72.42,196.03,Male
63.97,172.88,Male
69.64,185.98,Male
67.94,182.43,Male
67.92,174.12,Male
69.44,197.73,Male
66.15,149.17,Male
75.21,228.76,Male
67.89,162.01,Male
68.14,192.34,Male
69.09,184.44,Male
72.8,206.83,Male
67.42,175.21,Male
68.5,154.34,Male
68.62,187.51,Male
74.03,212.91,Male
71.53,195.03,Male
69.18,205.18,Male
69.58,204.16,Male
70.4,192.9,Male
69.08,197.49,Male
67.19,183.81,Male
65.81,163.85,Male
64.3,163.11,Male
67.97,172.14,Male
72.19,194.05,Male
65.27,168.62,Male
66.09,161.19,Male
67.51,164.66,Male
70.1,188.92,Male
68.25,187.06,Male
72.17,209.07,Male
69.18,192.01,Male
72.87,211.34,Male
64.78,165.61,Male
70.18,201.07,Male
68.49,173.42,Male
67.33,181.41,Male
66.99,169.74,Male
66.5,163.31,Male
68.35,189.71,Male
70.77,192.12,Male
71.22,198.2,Male
70.01,209.53,Male
71.4,198.76,Male
69.55,198.08,Male
73.82,195.29,Male
67,164.94,Male
71.42,179.86,Male
65.28,155.25,Male
68.27,184.52,Male
72.77,220.68,Male
68.1,183.31,Male
68.9,196.45,Male
69.29,184.6,Male
70.52,207.53,Male
69.66,177.2,Male
67.6,163.11,Male
72.51,216.22,Male
71.25,204.66,Male
71.81,200.92,Male
72.25,220.9,Male
66.51,196.45,Male
66.03,168.64,Male
67.58,181.43,Male
68.25,198.66,Male
73.83,237.92,Male
69.8,173.04,Male
65.96,160.68,Male
71.08,188.6,Male
66.6,208.35,Male
68.95,193.44,Male
68.24,174.11,Male
72.32,197.37,Male
71.82,201.62,Male
65.24,181.01,Male
70.64,182.12,Male
64.73,177.55,Male
67.1,164.97,Male
65.12,165.72,Male
71.7,193.09,Male
66.83,180.68,Male
66.47,172.77,Male
69.41,177.47,Male
70.05,200.82,Male
66.74,167.74,Male
66.27,154.4,Male
68.33,177.98,Male
70.08,183.94,Male
68.73,179.2,Male
67.56,158.57,Male
66.25,166.5,Male
69.18,171.98,Male
67.61,174.36,Male
69.29,187.75,Male
68.19,201.49,Male
71.61,204.93,Male
69.2,178.69,Male
67.26,164.01,Male
73.69,223.27,Male
69.54,202.96,Male
68.31,189.39,Male
67.74,178.17,Male
71.71,223.3,Male
63.63,167.03,Male
68.72,180.47,Male
66.95,164.44,Male
62.71,149.97,Male
72.26,192.91,Male
70.91,201.88,Male
67.61,179.87,Male
70.8,196.47,Male
69.3,187.55,Male
66.24,171.69,Male
67.49,191.7,Male
65.81,165.85,Male
71.44,185.66,Male
68.46,178.28,Male
63.99,150.98,Male
71,209.93,Male
68.14,174.16,Male
68.4,179.88,Male
68.1,167.75,Male
68.14,183.04,Male
68.86,169.56,Male
66.15,173.43,Male
66.21,180.89,Male
67.43,183.51,Male
69.47,205.98,Male
70.52,183.76,Male
71.34,201.95,Male
71,216.12,Male
66.2,159.39,Male
72.54,210.34,Male
67.48,178.62,Male
65.35,146.74,Male
70.84,195.94,Male
69.94,170.18,Male
64.74,169.65,Male
69.31,198.38,Male
68.84,179.91,Male
61.94,147.26,Male
68.59,176.98,Male
65.22,185.47,Male
64.33,177.49,Male
68.75,169.83,Male
72.49,198.58,Male
67.23,203.35,Male
67.26,193.22,Male
65.12,178.13,Male
66.26,162.78,Male
